Text: держание, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: кровопивица, Number: none, Confidence: none, Bbox: none
Text: лишении, Number: none, Confidence: none, Bbox: none
Text: сосуд, Number: none, Confidence: none, Bbox: none
Text: цы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: клопа, Number: none, Confidence: none, Bbox: none
Text: вались, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: связи, Number: none, Confidence: none, Bbox: none
Text: общи, Number: none, Confidence: none, Bbox: none
Text: жреце, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: из-за, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: вице, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: отческий, Number: none, Confidence: none, Bbox: none
Text: ними, Number: none, Confidence: none, Bbox: none
Text: формами, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: цитологическом, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: артериальном, Number: none, Confidence: none, Bbox: none
Text: дальнем, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: возникать, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: нежных, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: связи, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: плохим, Number: none, Confidence: none, Bbox: none
Text: кровообращением, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: этих, Number: none, Confidence: none, Bbox: none
Text: участник, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: тайными, Number: none, Confidence: none, Bbox: none
Text: признаками, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: кого, Number: none, Confidence: none, Bbox: none
Text: мыски, Number: none, Confidence: none, Bbox: none
Text: ичиг, Number: none, Confidence: none, Bbox: none
Text: личностей, Number: none, Confidence: none, Bbox: none
Text: тией, Number: none, Confidence: none, Bbox: none
Text: купидон, Number: none, Confidence: none, Bbox: none
Text: сил, Number: none, Confidence: none, Bbox: none
Text: боль, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: шелеп, Number: none, Confidence: none, Bbox: none
Text: половочеружен, Number: none, Confidence: none, Bbox: none
Text: шеле,, Number: none, Confidence: none, Bbox: none
Text: половочеру-, Number: none, Confidence: none, Bbox: none
Text: жен, Number: none, Confidence: none, Bbox: none
