Text: вым, Number: none, Confidence: none, Bbox: none
Text: способствует, Number: none, Confidence: none, Bbox: none
Text: увеличенных, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: увеличению, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: чепобечвежими, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: требует, Number: none, Confidence: none, Bbox: none
Text: лучшей, Number: none, Confidence: none, Bbox: none
Text: защиты, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: журнальное, Number: none, Confidence: none, Bbox: none
Text: бабуинов, Number: none, Confidence: none, Bbox: none
Text: способствует, Number: none, Confidence: none, Bbox: none
Text: швицкий, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: влечет, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: собой, Number: none, Confidence: none, Bbox: none
Text: отек, Number: none, Confidence: none, Bbox: none
Text: (26), Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Более, Number: none, Confidence: none, Bbox: none
Text: девуш, Number: none, Confidence: none, Bbox: none
Text: знали, Number: none, Confidence: none, Bbox: none
Text: сумских, Number: none, Confidence: none, Bbox: none
Text: обитали, Number: none, Confidence: none, Bbox: none
Text: Да, Number: none, Confidence: none, Bbox: none
Text: приближенных, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: экватору, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: именно, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: теплых, Number: none, Confidence: none, Bbox: none
Text: простра, Number: none, Confidence: none, Bbox: none
Text: пространствах, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Это, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: суммами, Number: none, Confidence: none, Bbox: none
Text: больш, Number: none, Confidence: none, Bbox: none
Text: приспособлены, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: тепле, Number: none, Confidence: none, Bbox: none
Text: законопать, Number: none, Confidence: none, Bbox: none
Text: котор, Number: none, Confidence: none, Bbox: none
Text: друго, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: прогибается, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: объяснить, Number: none, Confidence: none, Bbox: none
Text: сложить, Number: none, Confidence: none, Bbox: none
Text: изведает, Number: none, Confidence: none, Bbox: none
