Text: Оно, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: no24, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: Г, Number: none, Confidence: none, Bbox: none
Text: изображен, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутс, Number: none, Confidence: none, Bbox: none
Text: твиде, Number: none, Confidence: none, Bbox: none
Text: безраз, Number: none, Confidence: none, Bbox: none
Text: различных, Number: none, Confidence: none, Bbox: none
Text: раздражителей, Number: none, Confidence: none, Bbox: none
Text: Рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: симпатическом, Number: none, Confidence: none, Bbox: none
Text: отделе, Number: none, Confidence: none, Bbox: none
Text: нервной, Number: none, Confidence: none, Bbox: none
Text: системы, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: отбегаться, Number: none, Confidence: none, Bbox: none
Text: несения, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: участием, Number: none, Confidence: none, Bbox: none
Text: системы, Number: none, Confidence: none, Bbox: none
Text: инстинктом, Number: none, Confidence: none, Bbox: none
Text: поведения, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: ответ, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: участия, Number: none, Confidence: none, Bbox: none
Text: системы, Number: none, Confidence: none, Bbox: none
Text: инстинкта, Number: none, Confidence: none, Bbox: none
Text: заложены, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: природы, Number: none, Confidence: none, Bbox: none
Text: Элементы, Number: none, Confidence: none, Bbox: none
Text: рефлекторной, Number: none, Confidence: none, Bbox: none
Text: душ, Number: none, Confidence: none, Bbox: none
Text: тельные, Number: none, Confidence: none, Bbox: none
Text: двигателе, Number: none, Confidence: none, Bbox: none
Text: бый, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: дыня, Number: none, Confidence: none, Bbox: none
Text: Чувствительный, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: лавочный, Number: none, Confidence: none, Bbox: none
Text: став, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: no25, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: No25, Number: none, Confidence: none, Bbox: none
Text: 1), Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирефов, Number: none, Confidence: none, Bbox: none
Text: наблюдается, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление,, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
