Text: море, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: Безусловный, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: рефлекс, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: на, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: какой, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: либо, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: раздражитель, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: Имеется, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: с, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: рождения, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: инстликтброжденное, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: побуждение, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
Text: к, Number: 22, Confidence: 0.74, Bbox: [51.29137420654297, 42.75277328491211, 2280.977294921875, 1170.0126953125]
