Text: отечность, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: книжных, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: конечностей, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: из-за, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сумления, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сосудов, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: уменьшения, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: их, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: объема, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: следовательно, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сосуды, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: будут, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: уносить, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: от, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: тканей, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: меньшее, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: количество, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: жидкости, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Это, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: спровоцирует, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: отеки, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Наиболее, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: чревные, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: предки, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: сумчатых, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: могли, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: обитать, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: в, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: Африке, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
Text: и, Number: 22, Confidence: 0.49, Bbox: [11.201030731201172, 2.1116480827331543, 2282.489501953125, 480.9379577636719]
