Text: недостоверные, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: ы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: прословоропа, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: -де, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: генотипы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: и, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: факторы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: паранормальная, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: ахов, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: пор, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: побыли, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развития, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: писать, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
