Text: выработать, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: в, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: последствии, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: жизни, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: а, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: в, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: последствии, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: которым, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: -де, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: а, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: Высокое, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: артериальное, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: давление, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: у, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: эпиграфов, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: из-за, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
Text: большой, Number: 22, Confidence: 0.37, Bbox: [4.616954803466797, 276.58233642578125, 2307.34619140625, 2590.0]
