Text: свою, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: анк, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: в, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: анк, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: хозяина, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: барок, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: р, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: д, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: за, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: дано, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: аномалия, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развития, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
