Text: рефлекса, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: в, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: расположен, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: в, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: спинном, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: мозге, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Безусловный, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рефлекс, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: ответная, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: реакция, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: организма, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: при, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: помощи, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нервной, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: системы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: которую, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: организм, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: имеет, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: с, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: момента, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рождения, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Инстинкт, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: это, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рефлексов, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: оку, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Поэтому, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: В, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: этом, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: различие, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: инстинкта, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: и, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
