Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: оооб, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: листов, Number: none, Confidence: none, Bbox: none
Text: основного, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Нельзя, Number: none, Confidence: none, Bbox: none
Text: утверждать, Number: none, Confidence: none, Bbox: none
Text: ЧТО, Number: none, Confidence: none, Bbox: none
Text: ТЕСТИРУЕМЫЙ, Number: none, Confidence: none, Bbox: none
Text: ПРЕПАРАТ, Number: none, Confidence: none, Bbox: none
Text: РАЗРУШАЕТ, Number: none, Confidence: none, Bbox: none
Text: ВИРУСНЫЕ, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ТАК, Number: none, Confidence: none, Bbox: none
Text: КАК, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: ТАБЛИЦЕ, Number: none, Confidence: none, Bbox: none
Text: КОЛИЧЕСТВО, Number: none, Confidence: none, Bbox: none
Text: ВИРУСНЫХ, Number: none, Confidence: none, Bbox: none
Text: ЧАСТИЦ, Number: none, Confidence: none, Bbox: none
Text: ТО, Number: none, Confidence: none, Bbox: none
Text: проникается, Number: none, Confidence: none, Bbox: none
Text: ТО, Number: none, Confidence: none, Bbox: none
Text: ПОВЫШАЕТСЯ, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ОБРАТНАЯ, Number: none, Confidence: none, Bbox: none
Text: ТРАНСКРИПЦИЯ, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: МЕТОД, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: БИОХИМИЧЕСКИЙ, Number: none, Confidence: none, Bbox: none
