Text: существует, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: разница, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: в, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: жизнедеятельности, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: человека, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: жирафа, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: так, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: человек, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: совершает, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: больше, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: действий, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: конечностями, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: чем, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: жираф, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: поэтому, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: клевком, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: конечностей, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: человека, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: требуется, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: больше, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: крови, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: лучший, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: обмен, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: между, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: кровью, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: ткань, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: клеткой, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: кислородом, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: продукции, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: улепленный, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: газом, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: У, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: людей, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: при, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: длительном, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: отологический, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: повышенном, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: артериальном, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: давлении, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: может, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: возникать, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: отечность, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: нижних, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: конечностей, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: потому, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: что, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: в, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: таком, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: случаи, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: сосуды, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: нижних, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: конечностей, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: могут, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: растянутся, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: поэтому, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: такого, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: давления, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: не, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: будет, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: хватать, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: для, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: выведения, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: крови, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: дольше, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: из, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: нижних, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: конечностей, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: no25, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: Наиболее, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: древние, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: предки, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: современных, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: сумчатых, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: обитали, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: на, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: единой, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: материке, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: так, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: после, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: он, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: разошлась, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: на, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: несколько, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: других, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: а, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: схожие, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: животные, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: стали, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: населять, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: разные, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: материки, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: Биогеографическую, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: закономерность, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: в, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: российский, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: сумчатых, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: можно, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: наблюдать, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: потому, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: что, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: они, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: произошли, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: от, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: единого, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: предка, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: с, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: единой, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: территории, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: также, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: Южная, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: Америка, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: Австралия, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: находятся, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: в, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: схожих, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: географических, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: того, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: зонах, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: и, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: том, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: шерстя, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: схожие, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: условия, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: В, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: основе, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: лежит, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: геологическая, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
Text: теория, Number: 24, Confidence: 0.32, Bbox: [48.24707794189453, 1256.343505859375, 2271.595703125, 2492.706787109375]
