Text: Тасманией, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: Данный, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: бланк, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: использовать, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: только, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: после, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: заполнения, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: бланка, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ответов, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: а, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: лист, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: а, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: например, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: если, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: тонешь, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: то, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: срабатывает, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: инстинкт, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: самоохранения, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: и, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: начинаешь, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: питать, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: хотя, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: раньше, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: не, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: умел, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: буреломный, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: рефлекс, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: на, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: то, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: что, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: уже, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: испытывал, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: например, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: вещай, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: кормила, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: собаку, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: со, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: выпеченным, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: светом, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: а, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: спустя, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: какой-то, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: время, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: если, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: ты, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: просто, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: выпучишь, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
Text: свет, Number: 24, Confidence: 0.40, Bbox: [19.011716842651367, 1868.0225830078125, 2310.0, 2588.911376953125]
