Text: начинают, Number: none, Confidence: none, Bbox: none
Text: расширяться, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: массе, Number: none, Confidence: none, Bbox: none
Text: Большая, Number: none, Confidence: none, Bbox: none
Text: плотность, Number: none, Confidence: none, Bbox: none
Text: соединительткани, Number: none, Confidence: none, Bbox: none
Text: капиталами, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: конечностям, Number: none, Confidence: none, Bbox: none
Text: опухать, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: ногах, Number: none, Confidence: none, Bbox: none
Text: накаливается, Number: none, Confidence: none, Bbox: none
Text: вода, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Наиболее, Number: none, Confidence: none, Bbox: none
Text: древние, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: дымчатых, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: могли, Number: none, Confidence: none, Bbox: none
Text: теплых, Number: none, Confidence: none, Bbox: none
Text: местностях, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: филогенетическому, Number: none, Confidence: none, Bbox: none
Text: дереву, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: мы, Number: none, Confidence: none, Bbox: none
Text: можем, Number: none, Confidence: none, Bbox: none
Text: наблюдать, Number: none, Confidence: none, Bbox: none
Text: уменьшение, Number: none, Confidence: none, Bbox: none
Text: умных, Number: none, Confidence: none, Bbox: none
Text: раковин, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Данное, Number: none, Confidence: none, Bbox: none
Text: явление, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: объяснить, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: исходя, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: правил, Number: none, Confidence: none, Bbox: none
Text: напоена, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: Германа, Number: none, Confidence: none, Bbox: none
Text: Чем, Number: none, Confidence: none, Bbox: none
Text: холодно, Number: none, Confidence: none, Bbox: none
Text: моднее, Number: none, Confidence: none, Bbox: none
Text: местность, Number: none, Confidence: none, Bbox: none
Text: обитания, Number: none, Confidence: none, Bbox: none
Text: тем, Number: none, Confidence: none, Bbox: none
Text: меньше, Number: none, Confidence: none, Bbox: none
Text: конечности, Number: none, Confidence: none, Bbox: none
Text: Это, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: тепло, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: организме, Number: none, Confidence: none, Bbox: none
Text: шапочно, Number: none, Confidence: none, Bbox: none
Text: сохранятся, Number: none, Confidence: none, Bbox: none
