Text: -де, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: Такой, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: отрицательный, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: контроль, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: не, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: является, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: адекватным, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: потому, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: что, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: изучаемый, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: объект, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: подвергался, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: воздействию, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: противовирусного, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: недосто, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: из, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: каких, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: компонентов, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: состоит, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: данный, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: препарат, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: и, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: как, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: он, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: будет, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
Text: влиять, Number: 24, Confidence: 0.31, Bbox: [7.0464630126953125, 0.0, 2282.204345703125, 740.5882568359375]
