Text: внимание, Number: none, Confidence: none, Bbox: none
Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: обоих, Number: none, Confidence: none, Bbox: none
Text: листов, Number: none, Confidence: none, Bbox: none
Text: основного, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: седелочный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: имеется, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: каждого, Number: none, Confidence: none, Bbox: none
Text: представителя, Number: none, Confidence: none, Bbox: none
Text: вида, Number: none, Confidence: none, Bbox: none
Text: передается, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: наследству, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: нуждается, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: подкреплении, Number: none, Confidence: none, Bbox: none
Text: например, Number: none, Confidence: none, Bbox: none
Text: жевательный, Number: none, Confidence: none, Bbox: none
Text: сосательный, Number: none, Confidence: none, Bbox: none
Text: дыхательный, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстинктповедение, Number: none, Confidence: none, Bbox: none
Text: которое, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: некоторый, Number: none, Confidence: none, Bbox: none
Text: опред, Number: none, Confidence: none, Bbox: none
Text: период, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: практически, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: каждого, Number: none, Confidence: none, Bbox: none
Text: представителя, Number: none, Confidence: none, Bbox: none
Text: вида, Number: none, Confidence: none, Bbox: none
Text: Представляет, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: себя, Number: none, Confidence: none, Bbox: none
Text: систему, Number: none, Confidence: none, Bbox: none
Text: сложного, Number: none, Confidence: none, Bbox: none
Text: поведения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: очаге, Number: none, Confidence: none, Bbox: none
Text: мора, Number: none, Confidence: none, Bbox: none
Text: например, Number: none, Confidence: none, Bbox: none
Text: материнский, Number: none, Confidence: none, Bbox: none
Text: иностранктзабота, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: потомстве, Number: none, Confidence: none, Bbox: none
Text: рефлекторная, Number: none, Confidence: none, Bbox: none
Text: дуга, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: атлет, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: реджиксэто, Number: none, Confidence: none, Bbox: none
Text: редиске, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: индиго, Number: none, Confidence: none, Bbox: none
Text: выдуман, Number: none, Confidence: none, Bbox: none
Text: каждой, Number: none, Confidence: none, Bbox: none
Text: особи, Number: none, Confidence: none, Bbox: none
Text: вида, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: наличии, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: ав, Number: none, Confidence: none, Bbox: none
Text: данном, Number: none, Confidence: none, Bbox: none
Text: случае-свет), Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: укатает, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: неподкреплении):, Number: none, Confidence: none, Bbox: none
Text: рецепторы, Number: none, Confidence: none, Bbox: none
Text: сетчатки, Number: none, Confidence: none, Bbox: none
Text: чувствительный, Number: none, Confidence: none, Bbox: none
Text: неврон, Number: none, Confidence: none, Bbox: none
Text: нервный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: вшивочный, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: продолговатого, Number: none, Confidence: none, Bbox: none
Text: многодвигательный, Number: none, Confidence: none, Bbox: none
Text: чернорабочий, Number: none, Confidence: none, Bbox: none
Text: органсложные, Number: none, Confidence: none, Bbox: none
Text: железы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ироды, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: крупную, Number: none, Confidence: none, Bbox: none
Text: массу, Number: none, Confidence: none, Bbox: none
Text: следова, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: объем, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Чем, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: тем, Number: none, Confidence: none, Bbox: none
Text: большее, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: стенки, Number: none, Confidence: none, Bbox: none
Text: сосудов, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: оказывают, Number: none, Confidence: none, Bbox: none
Text: см, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Чем, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: крови,, Number: none, Confidence: none, Bbox: none
