Text: Сл, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: покатись, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: Все, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: бланки, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: контрольные, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: измерительные, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: материалы, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: рассматриваются, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: в, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: комплекте, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: Контроль, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: нельзя, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: считать, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: адекватным, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: так, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: как, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: исследуемый, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: объект, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: ве, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: равно, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: оказывалась, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: экспериментальное, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: воздействие, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: что, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: противоречит, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: стано, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: условиям, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: постановки, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: отрицательного, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: контроля, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: не, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: позволит, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: рустан, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: повить, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: влияние, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: исследуемого, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: препарата, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: вирус, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: иммунодефицит, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: человека, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: Для, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: постановки, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: отражательного, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: контроля, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: необходимо, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: Отделить, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: группу, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: вирусов, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: зараженных, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: вирусом, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: клеток, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: и, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: не, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: добавлять, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: к, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: ним, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: лекарственной, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: средстве, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: стальные, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: параметры, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: оставить, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: без, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: изменений, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: маков, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: контроль, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: позволит, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: уступать, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: действительно, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: ли, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: исследуемый, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: препарат, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
Text: влияет, Number: 22, Confidence: 0.32, Bbox: [15.331392288208008, 37.05234909057617, 2280.95458984375, 751.80908203125]
