Text: bruiniahdie!, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: Все, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: бланки, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: и, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: контрольные, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: измерительные, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: материалы, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: рассматриваются, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: ваяются, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: в, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: комплекте, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: -де, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: Такой, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: контроль, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: не, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: является, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: отрицательным, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: что, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: препарат, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: который, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: купили, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
Text: в, Number: 22, Confidence: 0.39, Bbox: [0.0, 44.79584884643555, 2269.790771484375, 1336.4339599609375]
