Text: После, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: заполнения, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: обоих, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: глистов, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: осповат, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: потому, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: что, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: расстояние, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: роста, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: до, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: головного, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: увеличенное, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: путана, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: большая, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: сила, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: и, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: большее, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: давление, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: крови, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: Соединительная, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: ткань, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: вокруг, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: капилляров, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: у, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: пирогов, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: или, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: ет, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: большую, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: плотность, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: потому, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: что, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: из-за, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: размеров, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: жирафа, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: мутно, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: обеспечить, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: более, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: сильную, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: защиту, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: и, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: сильную, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: основу, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: для, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: качественной, Number: 22, Confidence: 0.50, Bbox: [0.0, 88.54021453857422, 2302.427490234375, 2340.494873046875]
Text: мышц, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: и, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
Text: артерий, Number: 24, Confidence: 0.31, Bbox: [0.0, 114.8320541381836, 2293.17822265625, 2336.056640625]
