Text: действии, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: поворот, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: головы, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: сторону, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: источника, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: громкого, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: шума, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: ввержения, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: слюны, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: при, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: раздражении, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: рецепторов, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: ротовой, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: полости, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: инстинитболее, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: и, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: комплексная, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: реакция, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: -с, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: Рецептор, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: глаз, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: воспринимает, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: условный, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: раздражитель, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: освет, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: от, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: попочки, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: и, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: передает, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: его, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: зрительный, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: центр, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
