Text: Высокая, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Высокая, Number: none, Confidence: none, Bbox: none
Text: скорость, Number: none, Confidence: none, Bbox: none
Text: мутировали, Number: none, Confidence: none, Bbox: none
Text: ВИЦ, Number: none, Confidence: none, Bbox: none
Text: юбк, Number: none, Confidence: none, Bbox: none
Text: рынков, Number: none, Confidence: none, Bbox: none
Text: скорость, Number: none, Confidence: none, Bbox: none
Text: размножения, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: выделение, Number: none, Confidence: none, Bbox: none
Text: слоны, Number: none, Confidence: none, Bbox: none
Text: попадании, Number: none, Confidence: none, Bbox: none
Text: ищи, Number: none, Confidence: none, Bbox: none
Text: рот, Number: none, Confidence: none, Bbox: none
Text: полость, Number: none, Confidence: none, Bbox: none
Text: раздражение, Number: none, Confidence: none, Bbox: none
Text: реакторов, Number: none, Confidence: none, Bbox: none
Text: языка, Number: none, Confidence: none, Bbox: none
Text: Отсутствие, Number: none, Confidence: none, Bbox: none
Text: клич, Number: none, Confidence: none, Bbox: none
Text: раздражителяпампочка, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: базилик, Number: none, Confidence: none, Bbox: none
Text: горит, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: уловного, Number: none, Confidence: none, Bbox: none
Text: шопот, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: продолговатом, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: различия, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: инстинкта, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: врожденные, Number: none, Confidence: none, Bbox: none
Text: реакции, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: присутствие, Number: none, Confidence: none, Bbox: none
Text: всем, Number: none, Confidence: none, Bbox: none
Text: апо, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: каждого, Number: none, Confidence: none, Bbox: none
Text: свой, Number: none, Confidence: none, Bbox: none
Text: т, Number: none, Confidence: none, Bbox: none
Text: отряд, Number: none, Confidence: none, Bbox: none
Text: набор, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: инстинк, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: врожденные, Number: none, Confidence: none, Bbox: none
Text: поведения, Number: none, Confidence: none, Bbox: none
Text: особенности, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: обеспечивающие, Number: none, Confidence: none, Bbox: none
Text: выживаемость, Number: none, Confidence: none, Bbox: none
Text: организму, Number: none, Confidence: none, Bbox: none
Text: нее, Number: none, Confidence: none, Bbox: none
Text: проявляющиеся, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: завезти, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: условий, Number: none, Confidence: none, Bbox: none
Text: спр, Number: none, Confidence: none, Bbox: none
Text: среды, Number: none, Confidence: none, Bbox: none
Text: смена, Number: none, Confidence: none, Bbox: none
Text: времени, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: фотопериодизм, Number: none, Confidence: none, Bbox: none
Text: инструк, Number: none, Confidence: none, Bbox: none
Text: уют, Number: none, Confidence: none, Bbox: none
Text: отсутствуют, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: разул, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: см, Number: none, Confidence: none, Bbox: none
Text: мест, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: есть., Number: none, Confidence: none, Bbox: none
Text: см, Number: none, Confidence: none, Bbox: none
Text: мест, Number: none, Confidence: none, Bbox: none
Text: 8, Number: none, Confidence: none, Bbox: none
