Text: закладывается, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: в, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: последствия, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сезон, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: размножения, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: у, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: животных, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: и, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: лампочка, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: глаз, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: чувствительный, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: нейрон, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: вставочный, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: нейрон, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: двигательный, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: нейрон, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: сможет, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: деления, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: отельного, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: выделение, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
Text: слоны, Number: 24, Confidence: 0.53, Bbox: [6.45909309387207, 1823.0787353515625, 2264.971923828125, 2583.6767578125]
