Text: аба, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: вв, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: вв, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: вв, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: вв, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: -с, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: а, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: вздор, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: а, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: нак, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: зан, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: д, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: н, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: к, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: ран, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: к, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: дор, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: а, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: дор, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: 390р., Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: дор, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: -с, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: Да, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: в, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: следствии, Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
Text: красенговера., Number: 28, Confidence: 0.70, Bbox: [21.023298263549805, 1.574234127998352, 2292.88671875, 516.5275268554688]
