Text: Частота, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: встречаемость, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: нормального, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: апреля, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: а, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: а, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: 0,01=, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: 0,99, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: естественный, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: отбор, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: пенные, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: особи, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: к, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: при, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: нам, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: выживают, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: самые, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: приспособь, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: доминантным, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: анормальным, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: генотипом, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: -де, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: рефлекс, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: так, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: буквой, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: изображен, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: безусловный, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: На, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
Text: рисунке, Number: 22, Confidence: 0.37, Bbox: [2.174849510192871, 23.025863647460938, 2285.704833984375, 1436.0653076171875]
