Text: артериальную, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: кровь, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: апо, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: большому, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: кругу, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: кровообращения, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: головной, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: мозг, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: аи, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: обратно, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: необходимо, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: высокое, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: Через, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: соединительную, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: ткань, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: происходит, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: транспорт, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: ненужных, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: веществ, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: Конечности, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: жирафа, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: больше, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: чем, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: конечности, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
Text: человека, Number: 24, Confidence: 0.44, Bbox: [0.0, 1577.2777099609375, 2307.018310546875, 2590.0]
