Text: крови, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: происходит, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: быстрее, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: и, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: из-за, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: благодаря, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: этого, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: ого, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: может, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: на, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: ать, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: застойная, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: ся, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: в, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: нижних, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: конечностях, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: Так, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: же, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: из-за, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: нехватки, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: что, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: пов, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: отлипло, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: других, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: вещи, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: есть, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: пе, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: которые, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: л, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: ге, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: помог, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: бегают, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: соблюдай, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: палаш, Number: 22, Confidence: 0.38, Bbox: [762.1954956054688, 4.369953155517578, 2296.70654296875, 625.6981811523438]
Text: по, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: организме, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: о, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: ле, Number: 22, Confidence: 0.31, Bbox: [163.9547576904297, 2.4383695125579834, 2307.97265625, 474.9153137207031]
Text: -де, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [7.907510757446289, 4.259852409362793, 2309.0732421875, 631.1588134765625]
