Text: В, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: отрицательном, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: контроль, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: изучаемый, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: объект, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: не, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: должен, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: подвергаться, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: какому-либо, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: эксперимента, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: дом, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: воздействию, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: Экспериментатор, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: добавил, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: кланом, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: проливе, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: ясный, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: аппарат, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: и, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: тем, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: самым, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: подверг, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: отвергай, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: клетки, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: челове, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: ка, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
Text: экспериментальному, Number: 22, Confidence: 0.42, Bbox: [16.716083526611328, 112.26935577392578, 2309.529541015625, 1989.9300537109375]
