Text: теория, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: существования, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: единого, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: материка, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: и, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: дрейфа, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: континентов, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: В, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: связи, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: с, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: большим, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: У, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: жирафов, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: длинным, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: телом, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: наблюдается, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: высокое, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: артериальное, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: давление, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: в, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: сонных, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: артериях, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: У, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: людей, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: при, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: длительном, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: пятом, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: этаже, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: чески, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: повышенном, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: артериальном, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: давлении, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: возникает, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: отечественным, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: возникает, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: отечность, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: нужных, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: конечностей, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: недостатка, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: кислорода, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: Соединит, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: ткань, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: вокруг, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: капилляров, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: у, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: жирафов, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: упомнена, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: для, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: того, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: чтобы, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: легче, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: переносить, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: перепад, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: давления, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: -де, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: Рисунок, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: г, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: фермент, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: центр, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: безусловного, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: смоноотцел, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: рефлексия, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: в, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: продолговатом, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
Text: мозге, Number: 25, Confidence: 0.57, Bbox: [36.3057861328125, 1728.3438720703125, 2303.411865234375, 2130.121337890625]
