Text: влияет, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: ли, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: препарат, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: на, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: целостность, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: вирусных, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: частиц, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: Вирусы, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: имеют, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: особенность, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: противостоять, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: подстраиваться, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: под, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: противовирусный, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: препарат, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: Вирусы, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: способны, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: быстро, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: размножаться, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: благодаря, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: этому, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: новые, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: потомки, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: подвергнутые, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: мутации, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: вырабатывают, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: новые, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: гены, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: имеющие, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: противовирусное, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: не, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: подаются, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: препаратом, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: no24, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: На, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
Text: рисунке, Number: 22, Confidence: 0.52, Bbox: [0.6711034774780273, 0.0, 2255.381103515625, 1077.1485595703125]
