Text: возникает, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: отечность, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: нижних, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: конечностей, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: -де, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: решение, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: новеть, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: -с, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: анормальное, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: С, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: помаялся, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: развития, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: кисти, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: (шерфикоз., Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: м, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: р, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: а, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: д, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: с, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: канами, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: парам, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
Text: разв, Number: 28, Confidence: 0.82, Bbox: [29.514474868774414, 0.0, 2286.8515625, 1671.1326904296875]
