Text: ~22), Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: Данный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: нам, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: отрицательный, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: контроль, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: не, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: является, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: адекватным, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: потому, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: что, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: исследователь, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: целенаправленно, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: воздействовал, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: на, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: зараженные, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: клетки, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: лекарственным, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
Text: препаратом, Number: 24, Confidence: 0.41, Bbox: [11.13829231262207, 1752.0113525390625, 2278.906982421875, 2583.66650390625]
