Text: ушла, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: перисто, Number: none, Confidence: none, Bbox: none
Text: искоробиться, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: противоваружа, Number: none, Confidence: none, Bbox: none
Text: выростной, Number: none, Confidence: none, Bbox: none
Text: горш, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: бре, Number: none, Confidence: none, Bbox: none
Text: вокруг, Number: none, Confidence: none, Bbox: none
Text: мощь, Number: none, Confidence: none, Bbox: none
Text: недрюкросто, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: no24, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: засушен, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: изображение, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: ведшейся, Number: none, Confidence: none, Bbox: none
Text: слогоделения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: приутихает, Number: none, Confidence: none, Bbox: none
Text: бедра, Number: none, Confidence: none, Bbox: none
Text: различный, Number: none, Confidence: none, Bbox: none
Text: тель, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рефлекторно, Number: none, Confidence: none, Bbox: none
Text: серый, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: руслового, Number: none, Confidence: none, Bbox: none
Text: смокоходемость, Number: none, Confidence: none, Bbox: none
Text: його, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
