Text: новые, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: приспособления, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: а, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: условиям, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: среды, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: обитания, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: -де, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: аномалия, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: В, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: -с, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: р, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: дуюсь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: гуава, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: кроссовер, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: кроссовер, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
