Text: 126., Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Раньше, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: существовал, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: один, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: континент, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: донья, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: ед, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: следствие, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: разлома, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: тектонических, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: плит, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: порвалась, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: лестные, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: нам, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: материки, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Территория, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Южной, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Америки, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Австралии, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: раньше, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: была, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: единой, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: но, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: из-за, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: разделения, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: произошла, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: за, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: географическая, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: изволения, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: сумчатых, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: животных, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: В, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: следствие, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: географической, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: изоляции, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: стала, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: появляется, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: новые, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: новые, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: виды, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: приспосабливаться, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: к, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: делово, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: ваяем, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: среды, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Так, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: сумчатые, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: животные, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: с, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: большими, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: выступи, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: поющими, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: конечностями, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: души, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: хвосты, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: стали, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: расселяться, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: в, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: более, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: теплых, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: климатических, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: зонах, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: так, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: большая, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: площадь, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: конечности, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: способствует, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: терморегуляции, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: позволяет, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: жив, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: шумковым, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: животным, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: не, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: перегреваться, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Именно, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: из-за, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: этого, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: можно, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: наблюдать, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: биогеографическую, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: закономерность, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: в, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: расселении, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: сум, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: -де, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: -с, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: Но, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: о, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
Text: рисунке, Number: 24, Confidence: 0.63, Bbox: [10.862144470214844, 2209.280517578125, 2302.776123046875, 2590.0]
