Text: месяц, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: покарание, Number: none, Confidence: none, Bbox: none
Text: пущены, Number: none, Confidence: none, Bbox: none
Text: условия, Number: none, Confidence: none, Bbox: none
Text: вать, Number: none, Confidence: none, Bbox: none
Text: ледку, Number: none, Confidence: none, Bbox: none
Text: всклочивает, Number: none, Confidence: none, Bbox: none
Text: Ворот, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: продолжало, Number: none, Confidence: none, Bbox: none
Text: различными, Number: none, Confidence: none, Bbox: none
Text: Рекомендации, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: речивость, Number: none, Confidence: none, Bbox: none
Text: время, Number: none, Confidence: none, Bbox: none
Text: нравится, Number: none, Confidence: none, Bbox: none
Text: рецепциданами, Number: none, Confidence: none, Bbox: none
Text: белками, Number: none, Confidence: none, Bbox: none
Text: баксом, Number: none, Confidence: none, Bbox: none
Text: состоянии, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сиди, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: несоединение, Number: none, Confidence: none, Bbox: none
Text: расплатили, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: внутри, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: хозяина, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отравляли, Number: none, Confidence: none, Bbox: none
Text: ры, Number: none, Confidence: none, Bbox: none
Text: смокосиделения, Number: none, Confidence: none, Bbox: none
Text: ошибкам, Number: none, Confidence: none, Bbox: none
Text: баловным, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: нашествие, Number: none, Confidence: none, Bbox: none
Text: безразличного, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: рецепте, Number: none, Confidence: none, Bbox: none
