Text: часть, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: -с, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: Большая, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: киселев, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: жизни, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: не, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: сливает, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: вериться, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: громкое, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: русло, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: в, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: результате, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: возникай, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: боток, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: убранс, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: у, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: предки, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: излучаемые, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: осмысли, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: в, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: весной, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: Америке, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: результате, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: постепенно, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: условиям, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: общения, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: изменяющая, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: к, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: новым, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: к, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
Text: новым, Number: 24, Confidence: 0.37, Bbox: [20.317861557006836, 29.201522827148438, 2238.8134765625, 1042.6068115234375]
