Text: ха-ха, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: развитие, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: без, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: г, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: гипертрихоза, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: нормальное, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: развитие, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: аномалия, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: развития, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: без, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: гипертрихоза, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: убь, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: без, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: схапав, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: ношения, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: гипертрихоз, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: нормальное, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
Text: развитие, Number: 28, Confidence: 0.73, Bbox: [0.0, 0.0, 2246.0712890625, 1839.187255859375]
