Text: аномалия, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: развитии, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: аномалии, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: развитии, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: года, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гуава, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: рав, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: года, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: заву, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гнет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: аномален, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: радистки, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: д, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: -то, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: то, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: аномалией, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: разви, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: развитии, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: разв, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: зав, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: ув, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гномами, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: люда, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: в, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
Text: развитии, Number: 28, Confidence: 0.87, Bbox: [4.5939836502075195, 0.0, 2269.265625, 2092.98095703125]
