Text: изменений, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: а, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: условия, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: местонахождения, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: ремешки, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: питание, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: дукаты, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: питание, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: и, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: тади, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: Этот, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: контроль, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: нам, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: действительно, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: ли, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: эффектов, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: лекарственный, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: пр, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: Си, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: стоит, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: ли, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: его, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: применять, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: в, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: лечении, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: а, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: также, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: проверить, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: чистоту, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: про, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: веденного, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: эксперимента, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: Нет, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: представленная, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
Text: в, Number: 22, Confidence: 0.55, Bbox: [42.629520416259766, 23.94591522216797, 2289.911865234375, 486.3045349121094]
