Text: нормальное, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: развитие, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: аномальное, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: развитие, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: без, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: отсутствие, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: гипертрихоза, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: сема, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: скрещивания, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: а, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: женщина, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: с, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: нормальным, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: развитием, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: без, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: гипертрихоза, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: мужчина, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
Text: аномальное, Number: 28, Confidence: 0.54, Bbox: [29.437904357910156, 83.90596771240234, 2310.0, 2471.4638671875]
