Text: 4.f3, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: А, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: генотипы, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: и, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: фенотипы, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: потомства, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: девочка, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: аномальным, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: без, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: гипертрихоза, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: Вовочка, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: с, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
Text: кисти, Number: 24, Confidence: 0.33, Bbox: [12.694402694702148, 0.0, 2275.463134765625, 1155.7003173828125]
