Text: материнская, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: х, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: хромосома, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: несущая, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: ген, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: нормального, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: развития, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: кисти, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: и, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: мужская, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: -с, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: хромосома, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: образованная, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: в, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: результате, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: россии, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: гомера, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: несущая, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: ген, Number: 22, Confidence: 0.86, Bbox: [0.0, 0.35518836975097656, 2276.82421875, 484.73358154296875]
Text: нормального, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: развития, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: кисти, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
Text: исти, Number: 22, Confidence: 0.33, Bbox: [683.7339477539062, 1.1796798706054688, 2284.894287109375, 495.81658935546875]
