Text: ствовая-ствием, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: окружающих, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: факторов, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: разделился, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: на, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: авирона, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: лаврами, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: северный, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: и, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: гондвану(южный)., Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: Раннее, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: отделение, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: страши, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: способствовало, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: сумчатых, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: млекопитающих, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: в, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: связи, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: отсутствия, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: хищников, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: Наиболее, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: древние, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: предки, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: сумчатых, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: обитали, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: в, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: головане, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: теория, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: дрейфа, Number: 22, Confidence: 0.30, Bbox: [1003.0076904296875, 1.8349134922027588, 2300.3798828125, 551.6135864257812]
Text: континентов, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: no25., Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: -с, Number: 22, Confidence: 0.88, Bbox: [22.704391479492188, 0.7503292560577393, 2288.283203125, 574.9009399414062]
Text: жираф, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: обитает, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: в, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: достаточно, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: жарком, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: кинетическом, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: поясе, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: -с, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: анатомическое, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: строение, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: жирафа, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: отличается, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: от, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: чебот, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: человека, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: длинные, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: конечности, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: жираф, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: имеет, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: высокий, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: рост, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: -с, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: газообмен, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: у, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: жирафа, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: происходит, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: менее, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: интенсивно, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: -с, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: при, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: повышении, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: давления, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: у, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: человека, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: происходит, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: застой, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: кровеносных, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: сосудах, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: нижние, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: конечности, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: плохо, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: снабжаются, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: кровью, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: что, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: вызывает, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: отек, Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
Text: no24., Number: 22, Confidence: 0.58, Bbox: [28.335783004760742, 565.5902099609375, 2274.751953125, 1499.096435546875]
