Text: материал, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: способны, Number: none, Confidence: none, Bbox: none
Text: мутировать, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: могут, Number: none, Confidence: none, Bbox: none
Text: образовывать, Number: none, Confidence: none, Bbox: none
Text: новые, Number: none, Confidence: none, Bbox: none
Text: штамб, Number: none, Confidence: none, Bbox: none
Text: мы, Number: none, Confidence: none, Bbox: none
Text: мы, Number: none, Confidence: none, Bbox: none
Text: (вич-рнк-, Number: none, Confidence: none, Bbox: none
Text: вирус, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Это, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: усложняет, Number: none, Confidence: none, Bbox: none
Text: разработку, Number: none, Confidence: none, Bbox: none
Text: препаратов, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: (24), Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: рис, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: низа, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: пищу, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: выделение, Number: none, Confidence: none, Bbox: none
Text: плюса, Number: none, Confidence: none, Bbox: none
Text: берез, Number: none, Confidence: none, Bbox: none
Text: различный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: освет, Number: none, Confidence: none, Bbox: none
Text: Центр, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: продолговатый, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: врожденным, Number: none, Confidence: none, Bbox: none
Text: передается, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: полезному, Number: none, Confidence: none, Bbox: none
Text: Рефлекторная, Number: none, Confidence: none, Bbox: none
Text: дуга, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Собака, Number: none, Confidence: none, Bbox: none
Text: вырабатывает, Number: none, Confidence: none, Bbox: none
Text: шлюпу, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: пищу, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: лицу, Number: none, Confidence: none, Bbox: none
Text: лампа, Number: none, Confidence: none, Bbox: none
Text: выключена, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: этот, Number: none, Confidence: none, Bbox: none
Text: процесс, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Лампа, Number: none, Confidence: none, Bbox: none
Text: загорай, Number: none, Confidence: none, Bbox: none
Text: загорается, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: фокусирует, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: сетчатке, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: зрительному, Number: none, Confidence: none, Bbox: none
Text: нерву, Number: none, Confidence: none, Bbox: none
Text: импульс, Number: none, Confidence: none, Bbox: none
Text: водит, Number: none, Confidence: none, Bbox: none
Text: доходит, Number: none, Confidence: none, Bbox: none
Text: ит, Number: none, Confidence: none, Bbox: none
Text: затылочной, Number: none, Confidence: none, Bbox: none
Text: доли, Number: none, Confidence: none, Bbox: none
Text: коры, Number: none, Confidence: none, Bbox: none
Text: больших, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: полдни, Number: none, Confidence: none, Bbox: none
Text: арий, Number: none, Confidence: none, Bbox: none
Text: там, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: ходит, Number: none, Confidence: none, Bbox: none
Text: анализ, Number: none, Confidence: none, Bbox: none
Text: мерз, Number: none, Confidence: none, Bbox: none
Text: получ, Number: none, Confidence: none, Bbox: none
Text: слученной, Number: none, Confidence: none, Bbox: none
Text: информации, Number: none, Confidence: none, Bbox: none
Text: шлюпа, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: высмеет, Number: none, Confidence: none, Bbox: none
Text: выделяй, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: ходит, Number: none, Confidence: none, Bbox: none
Text: анализ, Number: none, Confidence: none, Bbox: none
Text: мез, Number: none, Confidence: none, Bbox: none
Text: получ, Number: none, Confidence: none, Bbox: none
Text: слученной, Number: none, Confidence: none, Bbox: none
Text: инф, Number: none, Confidence: none, Bbox: none
Text: информации, Number: none, Confidence: none, Bbox: none
Text: Слюпа, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: ндсмеет, Number: none, Confidence: none, Bbox: none
Text: выделя, Number: none, Confidence: none, Bbox: none
