Text: ахать, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: аль, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: аль, Number: none, Confidence: none, Bbox: none
Text: Ах, Number: none, Confidence: none, Bbox: none
Text: ахах, Number: none, Confidence: none, Bbox: none
Text: девочка, Number: none, Confidence: none, Bbox: none
Text: шести, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: блюд, Number: none, Confidence: none, Bbox: none
Text: вать, Number: none, Confidence: none, Bbox: none
Text: мальчик, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: аномалией, Number: none, Confidence: none, Bbox: none
Text: инсти, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: ахать, Number: none, Confidence: none, Bbox: none
Text: мальчик, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: ажно, Number: none, Confidence: none, Bbox: none
Text: напили, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: шпортрижоза, Number: none, Confidence: none, Bbox: none
Text: дах, Number: none, Confidence: none, Bbox: none
Text: девочка, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: гипероне, Number: none, Confidence: none, Bbox: none
Text: Признак, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: локализован, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: ахроматом, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: шкертринозом, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: Если, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: мальчик, Number: none, Confidence: none, Bbox: none
Text: Рождение, Number: none, Confidence: none, Bbox: none
Text: речения, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: развитием, Number: none, Confidence: none, Bbox: none
Text: инсти, Number: none, Confidence: none, Bbox: none
Text: кокку, Number: none, Confidence: none, Bbox: none
Text: И, Number: none, Confidence: none, Bbox: none
Text: С, Number: none, Confidence: none, Bbox: none
Text: летние, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: интерпринезал, Number: none, Confidence: none, Bbox: none
Text: мл, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: буркал, Number: none, Confidence: none, Bbox: none
Text: баш, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: разрушен, Number: none, Confidence: none, Bbox: none
Text: инсти, Number: none, Confidence: none, Bbox: none
Text: локализовано, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: х-хромосоли,, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: мама, Number: none, Confidence: none, Bbox: none
Text: была, Number: none, Confidence: none, Bbox: none
Text: голодичатна, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: этому, Number: none, Confidence: none, Bbox: none
Text: признаку, Number: none, Confidence: none, Bbox: none
