Text: ном, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: давление, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: моисеем, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: возникать, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: отечность, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: нижних, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: конечно, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: тией, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: жак, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: сосуды, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: расширяются, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: требуемая, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: налаживаться, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: большое, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: голово, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: воды, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: и, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: накапливается, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
Text: в, Number: 25, Confidence: 0.32, Bbox: [169.23663330078125, 110.94066619873047, 2277.93896484375, 1757.8702392578125]
