Text: собственных, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: донка, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: ринк, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: белков, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: no24, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: Безуслов, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рефлекс, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: слюноотделения, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: и, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: безразличный, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: раздражитель, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: изображение, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: на, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рисунке, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: а, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: реакторный, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: центр, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: безусловного, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: слюноотделительного, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рефлекса, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: находится, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: в, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: продолговатом, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: море, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: мозге, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: Институты, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: являются, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: цепочками, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рефлексов, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: имеют, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: более, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: сложную, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: структуру, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: чем, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рефлекс, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: -с, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: Лампочка, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: условный, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: раздражитель, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: сетчатка, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: глаза, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: зрительный, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: нерв, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: кора, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: полушарий, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: головного, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: мозга, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: центр, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: условного, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: слюноотделительного, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: рефлекса, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: слюнная, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: железа, Number: 22, Confidence: 0.52, Bbox: [20.178306579589844, 53.04965591430664, 2291.541748046875, 1444.91845703125]
Text: no25., Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: соловая, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: жирафа, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: находится, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: намного, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: выше, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: его, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: сердца, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: и, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: остального, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: тела, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: соответственно, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: сила, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
Text: притяжения, Number: 24, Confidence: 0.44, Bbox: [27.426074981689453, 1443.4462890625, 2301.208740234375, 2589.8916015625]
