Text: в, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: Первое, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: -с, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: слитие, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: без, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: В, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: окончания, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: разв, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: по, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: с, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: шпергрикозом, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: -некроссоверные, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: кроссовере, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: -с, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: а, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: а, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: Возможное, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: потомство, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: женского, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: пола, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: ха, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: -с, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: норм, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: космы, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: без, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: -с, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: канами, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
Text: в, Number: 28, Confidence: 0.79, Bbox: [0.056563377380371094, 29.032573699951172, 2223.795654296875, 2590.0]
