Text: зазвав, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: здорова, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: мономания, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: развития, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: зазвав, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: хозавздоров, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: развития, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: да, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: горно, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: ясно, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: потому, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: что, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: при, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: сиянии, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: матерински, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: гаметы, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: а, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: с, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: мужской, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: гаметой, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: ус, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: полученной, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: в, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: результате, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: прессинговать, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: между, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: хромосомами, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: а, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: и, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: за, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
Text: Получается, Number: 28, Confidence: 0.38, Bbox: [58.930397033691406, 24.58333396911621, 2310.0, 1731.4267578125]
