Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Данный, Number: none, Confidence: none, Bbox: none
Text: остриц, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: тельный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: будили, Number: none, Confidence: none, Bbox: none
Text: авгит, Number: none, Confidence: none, Bbox: none
Text: ед, Number: none, Confidence: none, Bbox: none
Text: ч, Number: none, Confidence: none, Bbox: none
Text: ед, Number: none, Confidence: none, Bbox: none
Text: ч, Number: none, Confidence: none, Bbox: none
Text: ным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: был, Number: none, Confidence: none, Bbox: none
Text: мере, Number: none, Confidence: none, Bbox: none
Text: досочек, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: ви, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: подавление, Number: none, Confidence: none, Bbox: none
Text: вич, Number: none, Confidence: none, Bbox: none
Text: клеток, Number: none, Confidence: none, Bbox: none
Text: синфекции.)., Number: none, Confidence: none, Bbox: none
Text: противо, Number: none, Confidence: none, Bbox: none
Text: русский, Number: none, Confidence: none, Bbox: none
Text: приперт, Number: none, Confidence: none, Bbox: none
Text: аптеки, Number: none, Confidence: none, Bbox: none
Text: действием, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: волов, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: дни, Number: none, Confidence: none, Bbox: none
Text: подавлять, Number: none, Confidence: none, Bbox: none
Text: вич, Number: none, Confidence: none, Bbox: none
Text: идей, Number: none, Confidence: none, Bbox: none
Text: азию, Number: none, Confidence: none, Bbox: none
Text: Я, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: попробовал, Number: none, Confidence: none, Bbox: none
Text: другой, Number: none, Confidence: none, Bbox: none
Text: вариант, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: Выруча, Number: none, Confidence: none, Bbox: none
Text: службу, Number: none, Confidence: none, Bbox: none
Text: подводящиеся, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: действи, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: сумм, Number: none, Confidence: none, Bbox: none
Text: ши, Number: none, Confidence: none, Bbox: none
Text: поиграла, Number: none, Confidence: none, Bbox: none
Text: первого, Number: none, Confidence: none, Bbox: none
Text: добавление, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: испаренного, Number: none, Confidence: none, Bbox: none
Text: первого, Number: none, Confidence: none, Bbox: none
Text: против, Number: none, Confidence: none, Bbox: none
Text: другого, Number: none, Confidence: none, Bbox: none
Text: вируса, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: хот, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подавили, Number: none, Confidence: none, Bbox: none
Text: дей, Number: none, Confidence: none, Bbox: none
Text: илие, Number: none, Confidence: none, Bbox: none
Text: ВИЧ, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: видно, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: таблице, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: Он, Number: none, Confidence: none, Bbox: none
Text: русских, Number: none, Confidence: none, Bbox: none
Text: чему, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: баем, Number: none, Confidence: none, Bbox: none
Text: опыте, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: ро, Number: none, Confidence: none, Bbox: none
Text: сло, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: всем, Number: none, Confidence: none, Bbox: none
Text: протяжение, Number: none, Confidence: none, Bbox: none
Text: добавлении, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: ч, Number: none, Confidence: none, Bbox: none
Text: было, Number: none, Confidence: none, Bbox: none
Text: вендом, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: сравненное, Number: none, Confidence: none, Bbox: none
Text: кое-, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: полян, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: уменьшалось, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: экспе, Number: none, Confidence: none, Bbox: none
Text: висения, Number: none, Confidence: none, Bbox: none
Text: будем, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: пряным, Number: none, Confidence: none, Bbox: none
Text: подняло, Number: none, Confidence: none, Bbox: none
Text: лекарственных, Number: none, Confidence: none, Bbox: none
Text: ред, Number: none, Confidence: none, Bbox: none
Text: culo, Number: none, Confidence: none, Bbox: none
Text: против, Number: none, Confidence: none, Bbox: none
Text: вич, Number: none, Confidence: none, Bbox: none
Text: генном, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: нас, Number: none, Confidence: none, Bbox: none
Text: вирусов, Number: none, Confidence: none, Bbox: none
Text: бывает, Number: none, Confidence: none, Bbox: none
Text: меня, Number: none, Confidence: none, Bbox: none
Text: ся, Number: none, Confidence: none, Bbox: none
Text: когда, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: сиянии, Number: none, Confidence: none, Bbox: none
Text: понятия, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: состояние, Number: none, Confidence: none, Bbox: none
Text: аисты, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: пережить, Number: none, Confidence: none, Bbox: none
Text: благоприятные, Number: none, Confidence: none, Bbox: none
Text: удовлет, Number: none, Confidence: none, Bbox: none
Text: пережить, Number: none, Confidence: none, Bbox: none
Text: благоприятные, Number: none, Confidence: none, Bbox: none
Text: удовлет., Number: none, Confidence: none, Bbox: none
