Text: искл, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: лбом, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: рисунке, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: осто, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: о, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: ранее, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: н, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: безусловный, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: реденек, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: белкино, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: отделении, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: отсутствием, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: без, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: различного, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: дня, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: пиля, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: условный, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: раз, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: дрожишь, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: безусловной, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: раз, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: решительнее, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: безусловный, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: это, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: ответная, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: ся, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: организма, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: не, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: какой-то, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: внешней, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: раздражилось, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
Text: инстинкты, Number: 28, Confidence: 0.39, Bbox: [22.72909164428711, 292.0557556152344, 2310.0, 2590.0]
