Text: все, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материалы, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ок, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добывает, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: клетку, Number: none, Confidence: none, Bbox: none
Text: задание, Number: none, Confidence: none, Bbox: none
Text: безусловной, Number: none, Confidence: none, Bbox: none
Text: ред, Number: none, Confidence: none, Bbox: none
Text: году, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: обозначение, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: раз, Number: none, Confidence: none, Bbox: none
Text: буквой, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: смысоотдейительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: промежуточные, Number: none, Confidence: none, Bbox: none
Text: люди, Number: none, Confidence: none, Bbox: none
Text: безусловным, Number: none, Confidence: none, Bbox: none
Text: недельным, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: институтом, Number: none, Confidence: none, Bbox: none
Text: Различия, Number: none, Confidence: none, Bbox: none
Text: между, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: проявляется, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: определенных, Number: none, Confidence: none, Bbox: none
Text: условий, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: испытуемый, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: недолги, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: рядом, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: никакими, Number: none, Confidence: none, Bbox: none
Text: ра, Number: none, Confidence: none, Bbox: none
Text: ра, Number: none, Confidence: none, Bbox: none
Text: раздражителями, Number: none, Confidence: none, Bbox: none
Text: например, Number: none, Confidence: none, Bbox: none
Text: запаха, Number: none, Confidence: none, Bbox: none
Text: еды, Number: none, Confidence: none, Bbox: none
Text: име, Number: none, Confidence: none, Bbox: none
Text: раз, Number: none, Confidence: none, Bbox: none
Text: разговоров, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: ней, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: иконический, Number: none, Confidence: none, Bbox: none
Text: проявляет, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: тогда, Number: none, Confidence: none, Bbox: none
Text: когда, Number: none, Confidence: none, Bbox: none
Text: испытуемый, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: определенных, Number: none, Confidence: none, Bbox: none
Text: условиях, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: например, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: животного, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: работать, Number: none, Confidence: none, Bbox: none
Text: инстинкт, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: самосонравился, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: виде, Number: none, Confidence: none, Bbox: none
Text: опасного, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: него, Number: none, Confidence: none, Bbox: none
Text: зверя, Number: none, Confidence: none, Bbox: none
Text: Это, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: автоматические, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: жизненновежных, Number: none, Confidence: none, Bbox: none
Text: ситуациях, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Предки, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: могли, Number: none, Confidence: none, Bbox: none
Text: обитать, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: жарких, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: умеренных, Number: none, Confidence: none, Bbox: none
Text: местах, Number: none, Confidence: none, Bbox: none
Text: Они, Number: none, Confidence: none, Bbox: none
Text: достаточно, Number: none, Confidence: none, Bbox: none
Text: маленького, Number: none, Confidence: none, Bbox: none
Text: размера, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: позволяло, Number: none, Confidence: none, Bbox: none
Text: им, Number: none, Confidence: none, Bbox: none
Text: прятаться, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: укрытые, Number: none, Confidence: none, Bbox: none
Text: местах, Number: none, Confidence: none, Bbox: none
Text: Может, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: з, Number: none, Confidence: none, Bbox: none
Text: обитая, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: пустынях, Number: none, Confidence: none, Bbox: none
Text: где, Number: none, Confidence: none, Bbox: none
Text: могли, Number: none, Confidence: none, Bbox: none
Text: лежа, Number: none, Confidence: none, Bbox: none
Text: спрятаться, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: низок, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: спрятаться, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: ниок, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
