Text: вникание, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: Все, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: бланки, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: и, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: контрольные, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: измерительные, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: материалы, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: рассматриваются, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: комплекте, Number: 24, Confidence: 0.34, Bbox: [38.018001556396484, 1762.726318359375, 2291.849853515625, 2590.0]
Text: Задание, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: Отрицательный, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: контроль, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: установленный, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: исследователем, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: не, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: является, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: адекватным, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: так, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: как, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: он, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: не, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: дает, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: выявить, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: зависи, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: мости, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: Данные, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: полученные, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: при, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: внесении, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
Text: противовирусного, Number: 22, Confidence: 0.30, Bbox: [23.425142288208008, 55.37974548339844, 2295.773681640625, 1947.3104248046875]
