Text: мантии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: благо, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: использовать, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: только, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: а, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: ра, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: девочки, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: х, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: за, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: а, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: аномалии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: развитии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: кисти, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: гипертрихоза, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: зазе, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: канализации, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: развитии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: известь, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: шествие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: гипертрихоза, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: мальчики, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: хв, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: гномами, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: развитии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: шести, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: гипертрихоза, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: ха, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: отсутствие, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: в, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: развитии, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
Text: пистик, Number: 22, Confidence: 0.35, Bbox: [16.34088897705078, 56.2978515625, 2306.9833984375, 2588.820068359375]
