Text: они, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: перестают, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: поражать, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: вирусы, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: -с, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: поднадоел, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: в, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: живую, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: плетку, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: вирус, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: доминает, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: синтезировать, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: большое, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: помещено, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: своих, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: белков, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: что, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: способствует, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: многократному, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: увеличению, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: висла, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: вирусов, Number: 22, Confidence: 0.77, Bbox: [47.331443786621094, 14.411805152893066, 2310.0, 658.74462890625]
Text: -с, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: -с, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: На, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: рисунке, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: А, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: В, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: Безусловные, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: рефлексы, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: вызваны, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: реакцией, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: на, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: раздраж, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: а, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: институты, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: могут, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: проявляться, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: воздействия, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: раздражителя, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: Человек, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: может, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: управлять, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: своими, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: институтами, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: а, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: безусловными, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: рефлексами, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: нет, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: -с, Number: 23, Confidence: 0.43, Bbox: [27.819055557250977, 667.3502807617188, 2303.202392578125, 2541.541748046875]
Text: загорании, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: лампочки, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: рецепторы, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: глаза, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: возбуждаются, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: и, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
Text: передают, Number: 24, Confidence: 0.33, Bbox: [45.602928161621094, 668.7745361328125, 2294.4130859375, 2546.0927734375]
