Text: папа, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: хромосомой, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: ехав, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: а, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: del., Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Такой, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: контроль, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: не, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: является, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: адекватным, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: потому, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: что, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: работы, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: противовирусное, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: лекарство, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: часов, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: это, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: слишком, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: через, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: рано, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: надо, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: чтобы, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
