Text: (2-4), Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: На, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рисунке, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: а, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: отображен, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: безусловный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рефлекс, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: и, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: отсутствует, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: безраз, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: личный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: раздражитель, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: Рефлекторный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: центр, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: безусловного, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: слюноотделительного, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рефлекса, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: расположен, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рисунке, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: под, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: номером, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: Различие, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: между, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: безусловным, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рефлексом, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: и, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: инстинктом, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: заключается, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: в, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: следующем, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: ипотипетэто, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: врожденный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: ее, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: от, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: природы, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: Исто, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: чувство, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: в, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: условный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рефлексприобр, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: теплое, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: качество, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: А, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: как, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: и, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: показано, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: эксперименте, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: с, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: собакой, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: Павлова, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: элементы, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: рефлекторной, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: душ, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: язык, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: селекторный, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: центр, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: слюноотделительные, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
