Text: запыхтев, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: во, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: время, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: существования, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: древних, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: дымчатых, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: земля, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: была, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: одним, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: материком, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: и, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: благодаря, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: этому, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: древние, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: изучаться, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: попали, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: дружку, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: современную, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: кожную, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: америки, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: австралиек, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: Но, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: потом, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: один, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: общий, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: материк, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: раскола, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: пеналам, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: и, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: животные, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: обитающие, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: пам, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: Южный, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: америке, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: астрами, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: оказались, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: изолированы, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: спустя, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: время, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: под, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: приспособившись, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: к, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: тем, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: или, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: иным, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: условиям, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: обитания, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: приватные, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: изменились, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: в, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: рыхл, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: в, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: повадках, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: У, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: них, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: поменялась, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: персть, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: цвет, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: л, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: и, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: исп, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: персти, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: Но, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: у, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: них, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: осталось, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: м, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: сумка, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: и, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: общая, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: донка, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: от, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: древних, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: сумчатых, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: которые, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: года, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: объедини, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: из, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: древних, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: сумчатых, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: которые, Number: 25, Confidence: 0.30, Bbox: [70.74053192138672, 87.69324493408203, 2294.833251953125, 1659.1689453125]
Text: года, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: объединя, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
Text: из, Number: 22, Confidence: 0.36, Bbox: [75.57608032226562, 89.74014282226562, 2283.247314453125, 1667.032958984375]
