Text: Долю, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: рецессивных, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: гомозигот, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: может, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: снизить, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: естественный, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: товар, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: гомозиготный, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: рецессивный, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: ген, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: фенилкетонурии, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: влияет, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: на, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: продолжительность, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: жизни, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: и, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: является, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: вредным, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: что, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: может, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: привести, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: к, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: гибели, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: людей, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: болеющим, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: этим, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: заболеванием, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: нормальный, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: аллель, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: и, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: сократить, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: дало, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: гомозить, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: аба, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: ахнет, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: потонувши, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: да-с, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: фенилкетонурия, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: мутантный, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: аллель, Number: 28, Confidence: 0.57, Bbox: [0.0, 1496.4234619140625, 2223.3916015625, 2583.109130859375]
Text: али, Number: 28, Confidence: 0.43, Bbox: [0.0, 667.0023193359375, 2183.473388671875, 2590.0]
