Text: но, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ответное, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: -с, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Под, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: цифрой, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: а, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: изображены, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: рецепторы, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: глаза, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: вскрикивающие, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: бескалинформации, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: ределюкнов, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: свет, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: лампы, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: Под, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
Text: М, Number: 24, Confidence: 0.42, Bbox: [9.196612358093262, 1700.9344482421875, 2309.162841796875, 2590.0]
