Text: лаяния, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: контрольные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: измерительные, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: материал, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: рассматриваются, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: в, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: комплекте, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: обрусительный, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: покарал, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: экспериментатора, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: является, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: адекватным, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: так, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: при, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: постановке, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: отрицательного, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: контракт, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: мы, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: берем, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: изучаемый, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: объект, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: и, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: не, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: подвергали, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: его, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: экспериментальному, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: года, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: воздействию, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
Text: но, Number: 22, Confidence: 0.36, Bbox: [34.432029724121094, 89.53167724609375, 2303.0830078125, 1527.230712890625]
