Text: такое, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: высокое, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: артериальное, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: давление, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: потому, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: что, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: из-за, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: высокой, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: головы, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: которая, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: у, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: взрослых, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: особый, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: возвышается, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: на, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: а, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: метров, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: от, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: земли, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: нужно, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: прости, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: домой, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: путь, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: до, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: сердца, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: чтобы, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: переписать, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: бровь, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: У, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: жирафов, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: в, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: конечностях, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: соединительная, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: ткань, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: вокруг, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: напилив, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: имеет, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: большую, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: заботности, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: чем, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: у, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: человека, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: потому, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: что, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: нам, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: у, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: этого, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: животного, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: очень, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: длинные, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: но, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: при, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: этом, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: утопшие, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: У, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: людей, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: при, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: длительном, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: пятое, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: алогические, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: повышенном, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: артериальном, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: давлении, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: может, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: возникать, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: отечность, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: нижних, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: конечностей, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: из-за, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: застану, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: ванили, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
Text: жидкости, Number: 22, Confidence: 0.44, Bbox: [21.706504821777344, 39.13469314575195, 2298.383056640625, 1430.083251953125]
