Text: да, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: заикой, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: август, Number: none, Confidence: none, Bbox: none
Text: адекватным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: изучаемый, Number: none, Confidence: none, Bbox: none
Text: объект, Number: none, Confidence: none, Bbox: none
Text: подверг, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: экспериментальному, Number: none, Confidence: none, Bbox: none
Text: воздействию, Number: none, Confidence: none, Bbox: none
Text: арнаут, Number: none, Confidence: none, Bbox: none
Text: постановки, Number: none, Confidence: none, Bbox: none
Text: отрицательного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: первой, Number: none, Confidence: none, Bbox: none
Text: пробирке, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: тов, Number: none, Confidence: none, Bbox: none
Text: во, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: пробирке, Number: none, Confidence: none, Bbox: none
Text: сразу, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: препаратом, Number: none, Confidence: none, Bbox: none
Text: Сравнить, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: напрасный, Number: none, Confidence: none, Bbox: none
Text: аппарат, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: некоторых, Number: none, Confidence: none, Bbox: none
Text: случаях, Number: none, Confidence: none, Bbox: none
Text: разрушает, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: После, Number: none, Confidence: none, Bbox: none
