Text: немалы, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: есть, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: с, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: самого, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: рождения, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: -де, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: Поступление, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: в, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: головной, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: мозг, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: информации, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: Передача, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: информации, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: по, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: нейронам, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: выделение, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
Text: стоны, Number: 22, Confidence: 0.30, Bbox: [0.22081947326660156, 1.5827248096466064, 2277.630859375, 827.5960693359375]
