Text: безусловным, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: рефлексом, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: и, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: инстинк, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Различие, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: между, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: тош, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: заключается, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: том, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: что, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: безусловном, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: рефлексе, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: раздражитель, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: а, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: инстинкте, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: присутствует, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: 4231, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: no26., Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: В, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Австралии, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: обитатели, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: наиболее, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: дневные, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: нард, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: ки, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: чем, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Южной, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: америке, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Так, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: как, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: апофеозе, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: были, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: австралопитеки, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: -с, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: Биографическую, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: по, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: закономерность, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
Text: в, Number: 22, Confidence: 0.36, Bbox: [67.20791625976562, 14.438605308532715, 2295.28369140625, 553.9857788085938]
